1	2019-11-18 17:28:35	2019-11-18 17:28:35	\N	2019-11-18 17:28:35	2	1	1	19834	10130
2	2019-11-18 17:29:09	2019-11-18 17:29:09	\N	2019-11-18 17:29:09	2	2	1	26508	7147
3	2019-11-18 17:34:24	2019-11-18 17:34:24	\N	2019-11-18 17:34:24	2	6	3	13540	9699
4	2019-11-18 17:34:52	2019-11-18 17:34:52	\N	2019-11-18 17:34:52	2	6	3	25572	3101
5	2019-11-18 17:47:18	2019-11-18 17:47:18	\N	2019-11-18 17:47:18	2	1	7	14886	8451
6	2019-11-18 17:47:43	2019-11-18 17:47:43	\N	2019-11-18 17:47:43	2	1	7	21913	2576
7	2019-11-18 18:47:21	2019-11-18 18:47:21	\N	2019-11-18 18:47:21	3	2	1	15677	18022
8	2019-11-18 18:48:09	2019-11-18 18:48:09	\N	2019-11-18 18:48:09	3	6	2	28314	20386
9	2019-11-18 18:50:01	2019-11-18 18:50:01	\N	2019-11-18 18:50:01	3	6	3	11132	2820
10	2019-11-18 18:50:31	2019-11-18 18:50:31	\N	2019-11-18 18:50:31	3	6	3	27421	2680
11	2019-11-18 19:01:07	2019-11-18 19:01:07	\N	2019-11-18 19:01:07	3	6	7	20176	12082
12	2019-11-18 19:01:36	2019-11-18 19:01:36	\N	2019-11-18 19:01:36	3	6	7	27208	1950
13	2019-11-19 09:59:47	2019-11-19 09:59:47	\N	2019-11-19 09:59:47	4	2	1	20821	12096
14	2019-11-19 10:00:18	2019-11-19 10:00:18	\N	2019-11-19 10:00:18	4	1	1	24636	6365
15	2019-11-19 10:06:35	2019-11-19 10:06:35	\N	2019-11-19 10:06:34	4	1	3	20402	9115
16	2019-11-19 10:07:05	2019-11-19 10:07:05	\N	2019-11-19 10:07:04	4	1	3	27702	1933
17	2019-11-19 10:16:57	2019-11-19 10:16:57	\N	2019-11-19 10:16:56	4	1	7	23755	1903
18	2019-11-19 10:17:19	2019-11-19 10:17:19	\N	2019-11-19 10:17:18	4	1	7	20546	1435
19	2019-11-19 10:40:43	2019-11-19 10:40:43	\N	2019-11-19 10:40:58	5	6	1	10602	14798
20	2019-11-19 10:41:11	2019-11-19 10:41:11	\N	2019-11-19 10:41:26	5	1	1	21891	5509
21	2019-11-19 10:44:43	2019-11-19 10:44:43	\N	2019-11-19 10:44:58	5	1	3	18704	7796
22	2019-11-19 10:45:11	2019-11-19 10:45:11	\N	2019-11-19 10:45:26	5	1	3	22699	5701
23	2019-11-19 10:52:43	2019-11-19 10:52:43	\N	2019-11-19 10:52:58	5	6	7	26876	9524
24	2019-11-19 10:53:15	2019-11-19 10:53:15	\N	2019-11-19 10:53:30	5	1	7	27067	5033
25	2019-11-19 12:59:50	2019-11-19 12:59:50	\N	2019-11-19 12:59:49	6	1	1	15757	6046
26	2019-11-19 13:00:19	2019-11-19 13:00:19	\N	2019-11-19 13:00:18	6	2	1	23922	5423
27	2019-11-19 13:02:46	2019-11-19 13:02:46	\N	2019-11-19 13:02:45	6	2	3	17112	4983
28	2019-11-19 13:03:15	2019-11-19 13:03:15	\N	2019-11-19 13:03:14	6	2	3	26881	1632
29	2019-11-19 13:08:43	2019-11-19 13:08:43	\N	2019-11-19 13:08:42	7	5	1	29886	16323
30	2019-11-19 13:09:21	2019-11-19 13:09:21	\N	2019-11-19 13:09:21	7	1	1	27040	11465
31	2019-11-19 13:10:04	2019-11-19 13:10:04	\N	2019-11-19 13:10:03	6	4	7	28690	9473
32	2019-11-19 13:10:30	2019-11-19 13:10:30	\N	2019-11-19 13:10:29	6	1	7	20893	4993
33	2019-11-19 13:16:48	2019-11-19 13:16:48	\N	2019-11-19 13:16:48	7	2	3	23188	10382
34	2019-11-19 13:17:21	2019-11-19 13:17:21	\N	2019-11-19 13:17:21	7	1	3	25947	7302
35	2019-11-19 13:30:11	2019-11-19 13:30:11	\N	2019-11-19 13:30:11	7	1	7	21903	3401
36	2019-11-19 13:30:49	2019-11-19 13:30:49	\N	2019-11-19 13:30:49	7	1	7	28436	9731
37	2019-11-19 16:18:49	2019-11-19 16:18:49	\N	2019-11-19 16:18:49	9	2	1	24000	9101
38	2019-11-19 16:19:22	2019-11-19 16:19:22	\N	2019-11-19 16:19:22	9	3	1	27048	6246
39	2019-11-19 16:21:57	2019-11-19 16:21:57	\N	2019-11-19 16:21:57	9	1	3	16485	2465
40	2019-11-19 16:22:31	2019-11-19 16:22:31	\N	2019-11-19 16:22:31	9	5	3	29847	4805
41	2019-11-19 16:28:04	2019-11-19 16:28:04	\N	2019-11-19 16:28:04	9	3	7	22996	3615
42	2019-11-19 16:28:37	2019-11-19 16:28:37	\N	2019-11-19 16:28:37	9	5	7	29051	4525
43	2019-11-19 18:55:20	2019-11-19 18:55:20	\N	2019-11-19 18:55:20	11	1	1	15856	9574
44	2019-11-19 18:55:44	2019-11-19 18:55:44	\N	2019-11-19 18:55:44	11	1	1	20890	3702
45	2019-11-19 18:56:20	2019-11-19 18:56:20	\N	2019-11-19 18:56:20	10	1	1	25359	13541
46	2019-11-19 18:56:51	2019-11-19 18:56:51	\N	2019-11-19 18:56:51	10	1	1	25617	5152
47	2019-11-19 18:58:18	2019-11-19 18:58:18	\N	2019-11-19 18:58:18	11	1	3	14678	2104
48	2019-11-19 18:58:37	2019-11-19 18:58:37	\N	2019-11-19 18:58:36	12	3	1	16360	17817
49	2019-11-19 18:58:46	2019-11-19 18:58:46	\N	2019-11-19 18:58:46	11	1	3	26718	1501
50	2019-11-19 18:59:11	2019-11-19 18:59:11	\N	2019-11-19 18:59:10	12	4	1	26881	6354
51	2019-11-19 19:02:51	2019-11-19 19:02:51	\N	2019-11-19 19:02:51	11	2	7	17743	2683
